"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"RPS23"	"RPS23"	"RPS6"	"RPS9"	"RPS8"	"RPS3A"	"RPS25"	"RPS14"	"RPS13"	"RPL7A"	"RPL7"	"RPL6"	"RPL36AL"	"RPL35"	"RPL3"	"RPL27A"	"RPL27"	"RPL23A"	"RPL21"	"RPL15"	"RPL14"	"RPL13"	"RPL12"	"RPL11"	"RPL10A"	"RPL10"	"RPS18"	"RPL9P7"	"RPL8"	"RPL5"	"RPL37A"	"RPL36"	"RPL32"	"RPL31"	"RPL24"	"RPL19"	"RPL18A"	"ENSG00000215472"	"RPS15A"	"RPS19"	"RPS11"	"RPL23"	"RPL18"	"RPS3"	"RPS27A"	"RPLP0"	"RPL30"	"ENSG00000184779"	"RPS20"	"RPS5"	"RPS4X"	"RPS12"	"RPS7"	"RPL13A"	"RPL34"	"RPS15"	"RPL10L"	"RPL4"	"RPS27"	"RPL22"	"RPL38"	"RPL39"	"RPS26"	"NPM1"	"RPSA"	"RPS16"	"RPL3L"	"RPS2"	"RPLP2"	"RPS27L"	"RPL22L1"	"RPS10"	"SRP14"	"SLC25A5"	"UBA52"	"FAU"	"RACK1"	"RPLP1"	"SND1"	"PES1"	"RPL28"	"EBNA1BP2"	"NCL"	"EEF2"	"NAP1L1"	"HNRNPU"	"FBL"	"EEF1A1"	"HIST1H1D"	"TUFM"	"NOP58"	"IGF2BP1"	"G3BP1"	"ATP5C1"	"PA2G4"	"ATP5A1"	"HIST1H1C"	"SRPK1"	"HSP90AB1"	"HSP90AA1"	"HIST1H1A"
"RPS20"	"RPS20"	"RPS8"	"RPS2"	"RPS15A"	"RPL9P7"	"RPL35"	"RPL10"	"RPS3A"	"RPL6"	"RPL31"	"RPL19"	"RPL21"	"RPS13"	"RPL7A"	"RPL14"	"RPL13"	"RPS6"	"RPS23"	"RPL11"	"RPL27"	"RPS12"	"RPL18A"	"RPS25"	"RPLP0"	"RPS16"	"ENSG00000215472"	"RPS14"	"RPL10A"	"RPS18"	"RPL27A"	"RPL23A"	"RPL8"	"RPL12"	"RPL5"	"RPL4"	"RPS9"	"RPS4X"	"RPL30"	"RPL36"	"RPL32"	"RPL7"	"RPL3"	"RPL24"	"RPL34"	"RPL22"	"RPS27A"	"RPL37A"	"RPS19"	"RPL23"	"RPS11"	"RPL38"	"RPSA"	"RPL15"	"RPS26"	"RPL18"	"RPS7"	"RPS5"	"RPL13A"	"RPS3"	"UBA52"	"NPM1"	"YBX1"	"RPS27"	"RPLP2"	"RPLP1"	"RACK1"	"RPS27L"	"RPL39"	"RPL35A"	"FAU"	"RPS10"	"G3BP1"	"MTHFD1"	"HNRNPU"	"EEF1B2"	"NSUN2"	"RPS21"	"NCL"	"HSP90AA1"	"YBX3"	"ZNF622"	"BTF3"	"RRBP1"	"RPL3L"	"PES1"	"TUFM"	"SERBP1"	"NHP2"	"HSP90AB1"	"MYH7B"	"EIF2S1"	"PA2G4"	"MTHFD1L"	"BYSL"	"SLC25A5"	"ATP5A1"	"SND1"	"RPF2"	"CANX"	"RPS29"
"RPS19"	"RPS19"	"RPS6"	"RPS2"	"RPSA"	"RPS9"	"RPS8"	"RPS3A"	"RPS3"	"RPS15"	"RPS13"	"RPS12"	"RPL7A"	"RPL6"	"RPL36"	"RPL35"	"RPL3"	"RPL27A"	"RPL27"	"RPL23A"	"RPL21"	"RPL13"	"RPL11"	"RPL10A"	"RPL10"	"RPS16"	"RPL5"	"RPL4"	"RPL37A"	"RPL31"	"RPL23"	"RPL19"	"RPL18A"	"RPS23"	"RPS14"	"RPL9P7"	"RPL7"	"RPL15"	"ENSG00000215472"	"RPS4X"	"RPL13A"	"RPL24"	"RPL14"	"RPS11"	"RPL18"	"RPS15A"	"RPL8"	"RPL12"	"RPL35A"	"RPLP0"	"RPS25"	"RPS5"	"RPS27"	"RPS10"	"YBX1"	"RPL38"	"RPL10L"	"RPL22"	"RPS7"	"RPS20"	"RPL30"	"RPL26"	"RPS27A"	"NPM1"	"UBA52"	"RPL39"	"TSR1"	"RPS27L"	"CCDC124"	"EIF1AX"	"EEF1B2"	"RPS26"	"RPS18"	"NAT10"	"HADHA"	"RPL28"	"RPLP1"	"G3BP1"	"RPLP2"	"ZNF622"	"YBX3"	"HNRNPU"	"RPL32"	"MTHFD1"	"RPS17"	"SERBP1"	"EBNA1BP2"	"SLC25A5"	"EIF3B"	"SRPK1"	"SSB"	"MTHFD1L"	"BTF3"	"SLC25A6"	"EIF2S1"	"PES1"	"RPS21"	"RRBP1"	"RPS29"	"DDX47"	"RPF2"
"RPS18"	"RPS18"	"RPS6"	"RPS2"	"RPSA"	"RPS9"	"RPS8"	"RPS5"	"RPS3A"	"RPS3"	"RPS25"	"RPS23"	"RPS15A"	"RPS14"	"RPS13"	"RPS11"	"RPL8"	"RPL7A"	"RPL37A"	"RPL36"	"RPL3"	"RPL27A"	"RPL24"	"RPL23A"	"RPL23"	"RPL21"	"RPL18A"	"RPL18"	"RPL15"	"RPL13"	"RPL11"	"RPL10"	"ENSG00000215472"	"RPS16"	"RPL5"	"RPL32"	"RPL19"	"RPL13A"	"RPS15"	"RPS12"	"RPL7"	"RPL35"	"RPL31"	"RPL30"	"RPL27"	"RPL14"	"RPL6"	"RPL26L1"	"RPL26"	"RPLP0"	"RPL9P7"	"RPL12"	"RPL4"	"RPL10A"	"RPS29"	"RPL35A"	"RPS27"	"RPS20"	"RPS4X"	"RPL36AL"	"HNRNPU"	"RPS27A"	"RPL10L"	"RPL22"	"RPLP2"	"FAU"	"RPS10"	"RPS26"	"RPL34"	"RPL39"	"RPL38"	"RPLP1"	"NPM1"	"RPS7"	"PA2G4"	"EEF1B2"	"RPL3L"	"SND1"	"RPL37"	"RACK1"	"NCL"	"EIF2S1"	"RPS19"	"TSR1"	"HSP90AA1"	"G3BP1"	"HSP90AB1"	"RRP15"	"YBX1"	"SLC25A5"	"NAP1L1"	"SRP14"	"IGF2BP1"	"EBNA1BP2"	"TUFM"	"EIF1AX"	"EEF1G"	"EEF1A1"	"PUM3"	"PWP1"	"NOLC1"
"RPS16"	"RPS16"	"RPS9"	"RPS6"	"RPS5"	"RPS3A"	"RPS3"	"RPS19"	"RPS18"	"RPS15A"	"RPS15"	"RPS14"	"RPS13"	"RPS12"	"RPS11"	"RPL9P7"	"RPL8"	"RPL7"	"RPL6"	"RPL37A"	"RPL36"	"RPL35"	"RPL31"	"RPL30"	"RPL27A"	"RPL24"	"RPL23A"	"RPL23"	"RPL21"	"RPL18A"	"RPL15"	"RPL13"	"RPL11"	"RPL10A"	"RPL10"	"RPL32"	"RPL19"	"RPL13A"	"RPL7A"	"RPSA"	"RPS8"	"RPL27"	"RPL18"	"ENSG00000215472"	"RPL5"	"RPL4"	"RPL35A"	"RPS7"	"RPLP0"	"RPS20"	"RPL12"	"RPL3"	"RPL14"	"HNRNPU"	"RPS27A"	"RPS25"	"RPL38"	"RPLP1"	"RPS4X"	"RPL22"	"RPL34"	"YBX1"	"RPLP2"	"RPL26"	"RPL26L1"	"RPS27"	"RACK1"	"RPS23"	"NPM1"	"RPL36AL"	"ENSG00000184779"	"EBNA1BP2"	"RPS26"	"RPL39"	"RPS2"	"RPL10L"	"RPS10"	"IGF2BP1"	"SLC25A5"	"PABPC1"	"NOP58"	"G3BP1"	"HIST1H1B"	"FBL"	"RPL28"	"EEF1A1"	"RPL22L1"	"RPL3L"	"SRP14"	"EIF1AX"	"FAU"	"EEF1B2"	"EEF2"	"NCL"	"NAP1L1"	"TUFM"	"SERBP1"	"NOP10"	"CANX"	"PA2G4"	"RRP15"
"RPS15"	"RPS15"	"RPS19"	"RPS16"	"RPS9"	"RPS8"	"RPS5"	"RPS3A"	"RPS3"	"RPS15A"	"RPL3"	"RPL11"	"RPL10"	"RPL7A"	"RPL5"	"RPL37A"	"RPL36"	"RPL19"	"RPL18A"	"RPL15"	"RPS6"	"RPS18"	"RPL30"	"RPL26L1"	"RPL27A"	"RPS13"	"RPL7"	"RPL4"	"RPL31"	"RPS25"	"RPL26"	"RPL24"	"RPL21"	"RPL23A"	"RPL6"	"RPL18"	"RPL27"	"RPL13"	"RPSA"	"RPS23"	"RPLP0"	"RPL23"	"RPS11"	"RPS2"	"RPL22"	"RPL32"	"ENSG00000215472"	"RPS27"	"RPL10L"	"RPL14"	"RPS7"	"RPL8"	"RPL34"	"RPL36AL"	"RPS27A"	"RPL35A"	"NPM1"	"TSR1"	"RPS27L"	"UBA52"	"EEF1B2"	"RPS10"	"YBX1"	"RPL39"	"RPL37"	"HNRNPU"	"SLC25A5"	"RPL28"	"EBNA1BP2"	"NAP1L1"	"PA2G4"	"RPL13A"	"FAU"	"PES1"	"SRPK1"	"NAT10"	"NCL"	"EEF1G"	"RPS17"	"SLC25A4"	"RPL35"	"RPL10A"	"NAP1L4"	"NOLC1"	"RPS12"	"RPF2"	"PWP1"	"ZNF622"	"BYSL"	"SLC25A6"	"EEF2"	"RPL22L1"	"G3BP1"	"RPS14"	"IGF2BP3"	"YBX3"	"PUM3"	"RPS29"	"DDX47"	"RPS21"	"SUPT16H"
"RPS15A"	"RPS15A"	"RPSA"	"RPS8"	"RPS6"	"RPS3A"	"RPS2"	"RPS25"	"RPS20"	"RPS18"	"RPS16"	"RPS15"	"RPS9"	"RPL3"	"RPL27A"	"RPL21"	"RPS14"	"RPS13"	"RPS12"	"RPL9P7"	"RPL8"	"RPL7"	"RPL7A"	"RPL6"	"RPL5"	"RPL35"	"RPL24"	"RPL23"	"RPL19"	"RPL18A"	"RPL15"	"RPL14"	"RPL13"	"RPL13A"	"RPL12"	"RPL11"	"RPL10"	"ENSG00000215472"	"RPS4X"	"RPS23"	"RPL31"	"RPL27"	"RPL23A"	"RPL10A"	"RPS7"	"RPLP0"	"RPL32"	"RPS5"	"RPL18"	"RPL36"	"RPS3"	"RPL30"	"RPS19"	"RPS11"	"RPLP2"	"RPL37A"	"RPL4"	"RPL35A"	"RPS10"	"RPL22"	"RPS27A"	"ENSG00000184779"	"RPS26"	"HNRNPU"	"EEF1B2"	"RPL38"	"RACK1"	"RPL39"	"RPLP1"	"RPL34"	"FBL"	"G3BP1"	"RPS27L"	"BTF3"	"YBX1"	"EEF2"	"EBNA1BP2"	"TUFM"	"PES1"	"EEF1A1"	"SRP14"	"H1F0"	"UBA52"	"FAU"	"NOP58"	"NCL"	"PWP1"	"NAP1L1"	"RPL28"	"NPM1"	"SLC25A5"	"EIF1AX"	"EEF1G"	"PA2G4"	"EIF3B"	"NOP10"	"SERBP1"	"RPL37"	"RPF2"	"SSB"	"DIMT1"
"RPS14"	"RPS14"	"RPS6"	"RPS2"	"RPS23"	"RPS18"	"RPS16"	"RPS9"	"RPS8"	"RPS4X"	"RPS3A"	"RPS15A"	"RPL6"	"RPL3"	"RPL27A"	"RPL21"	"RPL13"	"RPL11"	"RPL10A"	"RPL10"	"RPS13"	"RPS11"	"RPL8"	"RPL7A"	"RPL5"	"RPL4"	"RPL36"	"RPL35"	"RPL32"	"RPL31"	"RPL24"	"RPL23"	"RPL19"	"RPL15"	"RPL13A"	"RPS19"	"RPS25"	"RPL30"	"RPL27"	"RPL14"	"RPL37A"	"RPL18"	"RPS5"	"RPS12"	"RPL18A"	"RPL12"	"ENSG00000215472"	"RPL10L"	"RPL22"	"RPS20"	"RPL34"	"RPL23A"	"RPLP0"	"RPS7"	"RPS27"	"RPL7"	"RPSA"	"RPS26"	"RPL35A"	"RPS27A"	"RPL9P7"	"FAU"	"RACK1"	"RPL26"	"RPL36AL"	"RPL38"	"PA2G4"	"RPL28"	"RPL37"	"UBA52"	"FBL"	"NPM1"	"RPLP2"	"RPS3"	"YBX1"	"EEF1B2"	"RPS10"	"EEF1A1"	"HNRNPU"	"RPLP1"	"EEF2"	"NOP58"	"SRP14"	"TUFM"	"G3BP1"	"SLC25A5"	"EBNA1BP2"	"EIF2S1"	"SND1"	"YBX3"	"MTHFD1"	"DDX47"	"PABPC1"	"SLC25A6"	"SRPK1"	"RRBP1"	"ZNF622"	"NOL6"	"G3BP2"	"ATP5C1"	"HADHA"
"RPS13"	"RPS13"	"RPS6"	"RPS2"	"RPS23"	"RPS19"	"RPS18"	"RPS16"	"RPS9"	"RPS8"	"RPS5"	"RPS4X"	"RPS3A"	"RPS3"	"RPS25"	"RPS15A"	"RPS14"	"RPLP2"	"RPLP0"	"RPL7"	"RPL6"	"RPL35"	"RPL3"	"RPL30"	"RPL27A"	"RPL27"	"RPL23A"	"RPL21"	"RPL14"	"RPL13"	"RPL12"	"RPL11"	"RPL10A"	"RPL10"	"RPL9P7"	"RPL8"	"RPL7A"	"RPL5"	"RPL4"	"RPL37A"	"RPL36"	"RPL32"	"RPL31"	"RPL24"	"RPL23"	"RPL19"	"RPL18"	"RPL18A"	"ENSG00000215472"	"RPS10"	"RPS7"	"RPS20"	"RPS15"	"RPS11"	"RPL22"	"RPS12"	"NPM1"	"RPL10L"	"DDX24"	"FAU"	"RPS29"	"YBX1"	"RPSA"	"RPL38"	"RPS26"	"RPS24"	"BRIX1"	"DDX21"	"LARP1"	"FBL"	"RPS27A"	"RPL35A"	"RPS27"	"NIP7"	"HNRNPU"	"MYBBP1A"	"RPL17"	"GNL3"	"DHX30"	"HP1BP3"	"FTSJ3"	"RPL34"	"RPLP1"	"GNL2"	"RSL1D1"	"RPL37"	"DDX27"	"TSR1"	"RPL36AL"	"PA2G4"	"NCL"	"RBM28"	"POP1"	"EEF1B2"	"PPAN"	"NOP16"	"NKRF"	"LYAR"	"GLYR1"	"RRP12"	"EIF1AX"
"RPS12"	"RPS12"	"RPS6"	"RPS2"	"RPS19"	"RPS16"	"RPS15A"	"RPLP0"	"RPL30"	"RPL10"	"RPL5"	"RPS18"	"RPS9"	"RPS8"	"RPS3"	"RPL7A"	"RPL6"	"RPL13"	"RPS3A"	"RPS14"	"RPL23A"	"RPL27A"	"RPL36"	"RPL23"	"RPS13"	"RPL14"	"RPS23"	"RPS20"	"RPL24"	"RPS4X"	"RPL21"	"RPS10"	"RPS25"	"RPL4"	"RPL19"	"RPL9P7"	"RPL35"	"RPS7"	"RPL27"	"RPL3"	"RPL11"	"RPL7"	"RPL12"	"RPL15"	"RPL31"	"RPL18A"	"RPL18"	"RPL10A"	"RPL22"	"RPS5"	"RPL37A"	"RACK1"	"RPSA"	"RPL13A"	"FAU"	"RPL38"	"RPL35A"	"HNRNPU"	"EEF2"	"YBX1"	"RPS11"	"ENSG00000215472"	"SND1"	"TUFM"	"RPS27A"	"CCDC124"	"G3BP2"	"PA2G4"	"YBX3"	"G3BP1"	"TSR1"	"RPS17"	"RPL32"	"RPS26"	"HSP90AB1"	"RPS15"	"IGF2BP1"	"NPM1"	"RPL8"	"HSP90AA1"	"RIOX2"	"NOP58"	"RPS27"	"ZNF622"	"EBNA1BP2"	"IGF2BP3"	"MEPCE"	"NAT10"	"EIF3B"	"RPS29"	"DDX47"	"NOL6"	"HNRNPC"	"NSUN2"	"MPG"	"TTC37"	"RPL26"	"BTF3"	"RRBP1"	"DIMT1"	"USP10"
"RPS11"	"RPS11"	"RPS6"	"RPS2"	"RPS18"	"RPS16"	"RPS9"	"RPS14"	"RPL36"	"RPL24"	"RPL15"	"RPL14"	"RPL13"	"RPL8"	"RPL19"	"RPL18A"	"RPS3A"	"RPS23"	"RPL21"	"RPL18"	"RPL11"	"RPL10A"	"RPL37A"	"RPL32"	"RPS13"	"RPL12"	"RPL10"	"RPS5"	"RPL27A"	"RPS19"	"RPL3"	"RPL6"	"RPS8"	"RPS15A"	"RPLP0"	"RPL35"	"RPL5"	"RPL38"	"RPL13A"	"RPL7A"	"RPS26"	"RPS3"	"RPL23"	"RPL31"	"ENSG00000215472"	"RPL7"	"RPL4"	"RPL22"	"RPL27"	"RPS25"	"RPS15"	"RPL23A"	"RPS4X"	"RPL9P7"	"RPL30"	"ENSG00000184779"	"RPSA"	"RPL36AL"	"RPL26"	"RPS20"	"RPLP2"	"RPL34"	"RPS27"	"FAU"	"NPM1"	"RPS7"	"RPL37"	"RPS27A"	"RPL35A"	"HNRNPU"	"RPS27L"	"RPL39"	"YBX1"	"UBA52"	"RPS12"	"TUFM"	"EIF5B"	"SLC25A5"	"ATP5A1"	"RPS10"	"BTF3"	"SRP14"	"PA2G4"	"EEF1B2"	"ENSG00000257529"	"EIF2S1"	"RPL28"	"RACK1"	"MTHFD1"	"DIMT1"	"EEF1A1"	"H1F0"	"EEF1G"	"HSP90AB1"	"NCL"	"PES1"	"HSP90AA1"	"SSB"	"RRBP1"	"HIST1H1C"	"RPS29"
"RPLP2"	"RPLP2"	"RPS3A"	"RPS13"	"RPS8"	"RPL21"	"RPL7A"	"RPL6"	"RPL5"	"RPL27"	"RPL19"	"RPS25"	"RPL36"	"RPL35"	"RPL31"	"RPL30"	"RPL23A"	"RPL15"	"RPL10A"	"RPS15A"	"RPL14"	"RPS9"	"RPL23"	"RPL4"	"RPL7"	"RPS4X"	"RPL8"	"RPL18A"	"RPS16"	"RPL10"	"ENSG00000215472"	"RPL37A"	"RPL18"	"RPS2"	"RPS18"	"RPS26"	"RPL35A"	"RPL24"	"RPS6"	"RPL3"	"RPL13A"	"RPS11"	"YBX1"	"RPL12"	"RPS23"	"RPL11"	"RPL27A"	"RPS3"	"RPL9P7"	"RPL26"	"RPL22"	"RPS5"	"RPL26L1"	"RPSA"	"RPL39"	"RPS14"	"EBNA1BP2"	"EEF1B2"	"RPS10"	"PABPC1"	"RPL28"	"RPS20"	"HSP90AB1"	"RPLP1"	"NAP1L4"	"RPS7"	"RRP15"	"RPS19"	"RPS27A"	"NOP58"	"HNRNPU"	"FBL"	"EEF1A1"	"RPS27"	"NCL"	"SRP14"	"SLC25A5"	"PWP1"	"SRPK1"	"RPL10L"	"BTF3"	"PUM3"	"RPL38"	"NAP1L1"	"HNRNPC"	"HSP90AA1"	"RPS27L"	"RBM34"	"UBA52"	"ENSG00000157828"	"MYH7B"	"YBX3"	"SRPK2"	"TUFM"	"SLC25A6"	"MYH13"	"EIF3B"	"ATP5A1"	"HADHA"	"RPLP0"	"SSB"
"RPLP0"	"RPLP0"	"RPS6"	"RPS13"	"RPS12"	"RPS9"	"RPS8"	"RPS3A"	"RPL7"	"RPL6"	"RPL3"	"RPL30"	"RPL21"	"RPL13"	"RPL10A"	"RPL10"	"RPL9P7"	"RPL8"	"RPL7A"	"RPL5"	"RPL4"	"RPL37A"	"RPL36"	"RPL32"	"RPL31"	"RPL23"	"RPL19"	"RPL18A"	"RPL15"	"RPL13A"	"RPS2"	"RPS4X"	"RPS25"	"RPL27A"	"ENSG00000215472"	"RPS23"	"RPS7"	"RPS15A"	"RPL23A"	"FBL"	"RPL24"	"RPS18"	"RPL27"	"RPL12"	"RPL11"	"RPL35"	"RPL14"	"RPL18"	"RPS16"	"RPS20"	"RPL35A"	"RPS11"	"YBX1"	"RPL10L"	"RPS19"	"RPS14"	"RPS15"	"ENSG00000184779"	"RPS27"	"RPS27A"	"RPS26"	"NOP58"	"RPL26"	"RPS5"	"RPS3"	"RPS10"	"EBNA1BP2"	"RPL28"	"RACK1"	"RPL38"	"RRP15"	"RPSA"	"PWP1"	"RPL34"	"HNRNPU"	"NOP10"	"RPS27L"	"BTF3"	"EEF1A1"	"SLC25A5"	"RPF2"	"RPL39"	"FAU"	"RPL22"	"EEF1B2"	"NCL"	"SRP14"	"EEF2"	"PUM3"	"TUFM"	"EIF3B"	"NAP1L1"	"SRPK1"	"MTHFD1"	"NPM1"	"YBX3"	"RPLP1"	"PABPC1"	"NOL6"	"NOLC1"	"HSP90AA1"
"RPL9P7"	"RPL9P7"	"RPS2"	"RPS16"	"RPS8"	"RPS25"	"RPS23"	"RPS20"	"RPS15A"	"RPS13"	"RPLP0"	"RPL6"	"RPL14"	"RPL10"	"RPL5"	"RPL23"	"RPS6"	"RPS19"	"RPS9"	"RPS4X"	"RPL7A"	"RPL11"	"RPL4"	"RPS5"	"RPS3A"	"RPL7"	"RPL36"	"RPL27"	"RPL21"	"RPL10A"	"RPL13A"	"RPS18"	"RPL18"	"RPL13"	"RPL19"	"RPL24"	"RPL23A"	"RPL18A"	"RPS7"	"RPL35"	"RPL30"	"RPL8"	"RPS12"	"RPL3"	"RPL12"	"RPL27A"	"RPL15"	"RPL31"	"RPL37A"	"RPS11"	"RACK1"	"RPL32"	"RPL35A"	"RPSA"	"ENSG00000215472"	"RPS14"	"FBL"	"RPS3"	"RPL10L"	"RPL38"	"RPL34"	"RPS26"	"RPL22"	"RPLP2"	"RPL39"	"RPS10"	"SRP14"	"EEF1B2"	"RPS27A"	"RPS27"	"FAU"	"EEF1A1"	"RPLP1"	"RPS27L"	"NPM1"	"NHP2"	"HNRNPU"	"YBX1"	"RPS29"	"NSUN2"	"G3BP1"	"TUFM"	"HSP90AB1"	"PUM3"	"IGF2BP1"	"BTF3"	"RPL3L"	"NACA2"	"SERBP1"	"NAP1L1"	"SSB"	"EEF2"	"SND1"	"YBX3"	"SRPK1"	"HSP90AA1"	"EIF3B"	"PABPC1"	"NOP58"	"G3BP2"	"EBNA1BP2"
"RPL8"	"RPL8"	"RPS6"	"RPS2"	"RPS26"	"RPS18"	"RPS16"	"RPS9"	"RPS8"	"RPS5"	"RPS3A"	"RPS3"	"RPS25"	"RPS23"	"RPS15A"	"RPS14"	"RPS13"	"RPS11"	"RPLP0"	"RPL7A"	"RPL7"	"RPL6"	"RPL4"	"RPL37A"	"RPL36"	"RPL35A"	"RPL35"	"RPL31"	"RPL3"	"RPL30"	"RPL27A"	"RPL27"	"RPL26L1"	"RPL26"	"RPL24"	"RPL23A"	"RPL21"	"RPL18A"	"RPL18"	"RPL15"	"RPL14"	"RPL13"	"RPL12"	"RPL11"	"RPL10A"	"RPL10"	"EBNA1BP2"	"RPL5"	"RPL32"	"RPL19"	"RPL13A"	"RPS27A"	"RPL23"	"RPL36AL"	"RPS4X"	"RPS19"	"RPS29"	"NPM1"	"RPL9P7"	"RPSA"	"RPL3L"	"RPS20"	"RPL38"	"RPL22"	"RPLP2"	"RBM34"	"RPL34"	"RPL10L"	"PES1"	"RPS15"	"FAU"	"RPS10"	"RPS27"	"RPF2"	"ENSG00000215472"	"EEF1B2"	"RPS7"	"RPL37"	"RPL39"	"EEF1G"	"NCL"	"NOLC1"	"IGF2BP1"	"SLC25A5"	"RIOX2"	"RPS27L"	"RPL22L1"	"TUFM"	"HNRNPU"	"YBX1"	"PWP1"	"HSP90AB1"	"RACK1"	"PUM3"	"SRPK1"	"RRP15"	"HSP90AA1"	"FBL"	"SSB"	"MTHFD1"	"SLC25A4"
"RPL7"	"RPL7"	"RPS6"	"RPS2"	"RPS23"	"RPS16"	"RPS13"	"RPLP0"	"RPL8"	"RPS9"	"RPS8"	"RPS5"	"RPS3A"	"RPS3"	"RPS25"	"RPS15A"	"RPL6"	"RPL3"	"RPL30"	"RPL27"	"RPL14"	"RPL13"	"RPL11"	"RPL10"	"EBNA1BP2"	"RPL7A"	"RPL5"	"RPL4"	"RPL37A"	"RPL36"	"RPL35"	"RPL32"	"RPL31"	"RPL24"	"RPL23A"	"RPL19"	"RPL18"	"RPL18A"	"RPL15"	"RPL13A"	"RPL10A"	"RPS19"	"RPS18"	"RPS4X"	"RPL27A"	"RPL9P7"	"RPS7"	"RPS15"	"RPSA"	"ENSG00000215472"	"RPL12"	"RPS11"	"NPM1"	"RPL21"	"RPS10"	"RPL23"	"RPL35A"	"RPS14"	"PES1"	"RPLP2"	"RPF2"	"RPS12"	"RPL26"	"RPL22"	"RPS20"	"RPS27"	"NCL"	"RPS26"	"RACK1"	"RPLP1"	"RBM34"	"PWP1"	"PA2G4"	"YBX1"	"RPL38"	"RPL34"	"RPL36AL"	"SND1"	"RPS27A"	"RPL28"	"NOP58"	"RPL26L1"	"SLC25A5"	"PABPC1"	"TUFM"	"FAU"	"RPL39"	"RPL10L"	"NAP1L1"	"EEF2"	"PUM3"	"EEF1A1"	"EEF1B2"	"UBA52"	"NSUN2"	"RRP15"	"BTF3"	"TSR1"	"NOLC1"	"RPL37"	"EIF2S1"
"RPL7A"	"RPL7A"	"RPS6"	"RPS23"	"RPS19"	"RPS18"	"RPL8"	"RPS9"	"RPS8"	"RPS5"	"RPS4X"	"RPS3A"	"RPS3"	"RPS25"	"RPS15A"	"RPS15"	"RPS14"	"RPS13"	"RPLP2"	"RPLP0"	"RPL7"	"RPL6"	"RPL35"	"RPL3"	"RPL30"	"RPL27A"	"RPL27"	"RPL23A"	"RPL21"	"RPL14"	"RPL13"	"RPL11"	"RPL10A"	"RPL10"	"RPL5"	"RPL4"	"RPL32"	"RPL31"	"RPL24"	"RPL23"	"RPL19"	"RPL18"	"RPL18A"	"RPS26"	"RPS16"	"RPS12"	"RPL9P7"	"NPM1"	"RPL37A"	"RPS2"	"RPS20"	"RPL22"	"RPL36"	"RPL12"	"RPS11"	"RPS27A"	"RPL36AL"	"RPL35A"	"RPL3L"	"RPS7"	"RPL10L"	"RACK1"	"ENSG00000215472"	"YBX1"	"RPL38"	"RPS27"	"HNRNPU"	"RPS10"	"FAU"	"RPS27L"	"RPL34"	"RPL37"	"EEF2"	"ENSG00000257529"	"EEF1A1"	"RPSA"	"TUFM"	"NCL"	"RPL39"	"EEF1B2"	"SLC25A5"	"NAP1L1"	"RPLP1"	"PA2G4"	"SRPK1"	"SRP14"	"NOLC1"	"G3BP1"	"NAP1L4"	"SND1"	"HSP90AB1"	"ZNF622"	"HSP90AA1"	"SERBP1"	"NSUN2"	"HIST1H1B"	"IGF2BP1"	"RIOX2"	"MEPCE"	"EEF1G"	"SLC25A3"
