ensembl_peptide_id hgnc_symbol
ENSP00000296380 EXO5
ENSP00000296411 METAP1
ENSP00000296545 IL15
ENSP00000296577 ABCE1
ENSP00000296674 RPS23
ENSP00000297273 CASD1
ENSP00000297405 CSMD3
ENSP00000297977 HDX
ENSP00000298048 MELK
ENSP00000298119 LRFN5
ENSP00000298288 LRR1
ENSP00000298532 SNAPC4
ENSP00000299194 LRTM2
ENSP00000299300 CCT2
ENSP00000299427 TPP1
ENSP00000299759 RRAD
ENSP00000300417 LRSAM1
ENSP00000300441 ACSF2
ENSP00000300954 PCSK4
ENSP00000301037 ENSP00000301037
ENSP00000302485 CSDC2
ENSP00000302620 AGXT
ENSP00000302621 LRG1
ENSP00000302886 PA2G4
ENSP00000303208 PCSK9
ENSP00000303942 GP9
ENSP00000304467 THOP1
ENSP00000304604 MAGI3
ENSP00000304923 LRRC28
ENSP00000305133 SOCS5
ENSP00000306524 LRRC8E
ENSP00000306682 PPM1D
ENSP00000306864 VASN
ENSP00000307567 QARS
ENSP00000307786 CYCS
ENSP00000307940 EEF2
ENSP00000308024 PCSK1
ENSP00000308315 PODN
ENSP00000308845 MRPS12
ENSP00000309092 GMPPB
ENSP00000309103 BAD
ENSP00000309415 CLTB
ENSP00000309542 PGA5
ENSP00000309572 TERT
ENSP00000310126 LINGO2
ENSP00000311344 PPP2R1B
ENSP00000311449 RAB6A
ENSP00000311847 CARHSP1
ENSP00000312001 LRRN3
ENSP00000312304 TPMT
ENSP00000312535 LRFN4
ENSP00000312663 CHRNA9
ENSP00000314048 ANO2
ENSP00000314615 ARFGAP1
ENSP00000314901 LRRN1
ENSP00000315152 METAP1D
ENSP00000315203 CREG2
ENSP00000315925 GMPPA
ENSP00000318406 KIAA0319L
ENSP00000318585 BACE1
ENSP00000318912 CA13
ENSP00000319052 CETN1
ENSP00000319464 CPN2
ENSP00000320309 FARSA
ENSP00000320634 SLCO3A1
ENSP00000320646 ACSF3
ENSP00000321221 SH2B1
ENSP00000321636 TOP3A
ENSP00000322192 PGA3
ENSP00000323527 MKLN1
ENSP00000324804 PPP2R1A
ENSP00000324842 AACS
ENSP00000325312 METAP2
ENSP00000325448 KARS
ENSP00000325708 CD37
ENSP00000325748 STK25
ENSP00000325917 PCSK7
ENSP00000326381 EIF4A2
ENSP00000326737 TNFRSF12A
ENSP00000326759 LRIG3
ENSP00000326817 LRRC57
ENSP00000327336 BGN
